Frame,Timestamp,Joint,Angle,Status
136,1774369932.974095,Right Leg,179,Extended
137,1774369933.0515158,Left Arm,127,Bent
137,1774369933.0526187,Right Arm,105,Bent
137,1774369933.0526187,Left Leg,179,Extended
137,1774369933.0526187,Right Leg,179,Extended
138,1774369933.1341643,Left Arm,135,Bent
138,1774369933.1341643,Right Arm,119,Bent
138,1774369933.1351664,Left Leg,179,Extended
138,1774369933.1351664,Right Leg,179,Extended
139,1774369933.2193687,Left Arm,50,Bent
139,1774369933.2193687,Right Arm,81,Bent
139,1774369933.2203763,Left Leg,179,Extended
139,1774369933.2203763,Right Leg,179,Extended
140,1774369933.3108556,Left Arm,65,Bent
140,1774369933.3108556,Right Arm,80,Bent
140,1774369933.3108556,Left Leg,178,Extended
140,1774369933.3120623,Right Leg,178,Extended
141,1774369933.4023764,Left Arm,83,Bent
141,1774369933.403884,Right Arm,68,Bent
141,1774369933.403884,Left Leg,179,Extended
141,1774369933.4052837,Right Leg,178,Extended
142,1774369933.4944594,Left Arm,81,Bent
142,1774369933.495455,Right Arm,65,Bent
142,1774369933.495455,Left Leg,179,Extended
142,1774369933.495455,Right Leg,177,Extended
143,1774369933.5691745,Left Arm,139,Bent
143,1774369933.5691745,Right Arm,114,Bent
143,1774369933.5701733,Left Leg,179,Extended
143,1774369933.5701733,Right Leg,178,Extended
144,1774369933.6451485,Left Arm,145,Bent
144,1774369933.6451485,Right Arm,128,Bent
144,1774369933.6451485,Left Leg,179,Extended
144,1774369933.6451485,Right Leg,178,Extended
145,1774369933.719381,Left Arm,140,Bent
145,1774369933.719381,Right Arm,115,Bent
145,1774369933.719381,Left Leg,178,Extended
145,1774369933.719381,Right Leg,178,Extended
146,1774369933.7991467,Left Arm,141,Bent
146,1774369933.7991467,Right Arm,105,Bent
146,1774369933.7991467,Left Leg,178,Extended
146,1774369933.7991467,Right Leg,178,Extended
147,1774369933.8804219,Left Arm,109,Bent
147,1774369933.8804219,Right Arm,32,Bent
147,1774369933.8815103,Left Leg,177,Extended
147,1774369933.8815103,Right Leg,178,Extended
148,1774369933.954075,Left Arm,108,Bent
148,1774369933.954075,Right Arm,35,Bent
148,1774369933.9550748,Left Leg,177,Extended
148,1774369933.9550748,Right Leg,177,Extended
149,1774369934.035222,Left Arm,124,Bent
149,1774369934.035222,Right Arm,36,Bent
149,1774369934.035222,Left Leg,177,Extended
149,1774369934.035222,Right Leg,176,Extended
150,1774369934.1145988,Left Arm,86,Bent
150,1774369934.1145988,Right Arm,38,Bent
150,1774369934.115561,Left Leg,177,Extended
150,1774369934.115561,Right Leg,174,Extended
151,1774369934.1979935,Left Arm,109,Bent
151,1774369934.1979935,Right Arm,26,Bent
151,1774369934.199002,Left Leg,177,Extended
151,1774369934.199002,Right Leg,173,Extended
152,1774369934.272068,Left Arm,93,Bent
